[2021-05-02 15:43:19] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:43:19] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:43:19] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:43:19] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:43:19] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:43:19] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:44:02] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:03] INFO|bookmark_manager_app.views.display|Created new group with name=group33
[2021-05-02 15:44:03] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:44:03] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:03] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:44:03] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:44:03] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:44:03] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:44:03] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:44:03] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:44:03] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:44:07] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:07] ERROR|bookmark_manager_app.views.display|Duplicate group name group33
[2021-05-02 15:44:07] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:07] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:44:07] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:44:07] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:44:07] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:44:07] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:44:07] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:44:07] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:44:15] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:15] ERROR|bookmark_manager_app.views.display|Duplicate group name group33
[2021-05-02 15:44:15] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:15] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:44:15] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:44:15] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:44:15] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:44:15] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:44:15] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:44:15] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:44:20] INFO|bookmark_manager_app.views.display|Retrieving group with name=group33
[2021-05-02 15:44:20] INFO|bookmark_manager_app.views.display|Deleted group with name=group33
[2021-05-02 15:44:20] DEBUG|bookmark_manager_app.views.display|Redirecting to Groups page
[2021-05-02 15:44:20] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:44:20] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:20] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:44:20] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:44:20] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:44:20] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:44:20] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:44:21] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
